Denominação,Outro nome,NIF,Doc ID,Capital Social,Número de Acções/Quotas,Valor Nominal,Natureza,Objecto,CAE,CAE Secundário 1,CAE Secundário 2,CAE Secundário 3,Facto,Data do facto (publicação),Valor do Facto,Modalidade e forma de subscrição:,,Categorias,Ordinárias,Categoria A,Categoria B,Categoria C,Classe A1,Classe B1,Preferenciais,Classe D,Classe E,Classe F,Classe G,Classe H,Classe I,Classe J,Classe K,Classe L,Acções preferenciais sem voto,Classe Promotor,Emissão de Valores Mobiliarios (Montante),Valores Mobiliários Valor nominal/Preço de Exercício,Activo Subjacente,N.º de Valores a emitir
"ADVANCED CYCLONE SYSTEMS, S.A.",,508482917,1,50000,5000,1,nominativas ou ao portador reciprocamente convertíveis,"Desenvolvimento, comercialização e instalação de equipamentos de filtragem industrial, no combate à poluição, tais como em grandes caldeiras de biomassa ou na recolha de partículas em processos industriais no ramo químico e farmacêutico. Actividades de engenharia e técnicas afins.","46630 - Comércio por grosso de máquinas para a indústria extractiva, construção e engenharia civil.",,,,Constituição,09/05/2008,50000,,,N,50000,,,,,,,,,,,,,,,,,,,,,
"ADVANCED CYCLONE SYSTEMS, S.A.",,508482917,2,83334,83334,1,"nominativas, podendo, em qualquer caso e na emissão ou por conversão, revestir forma meramente escritural",,"46630 - Comércio por grosso de máquinas para a indústria extractiva, construção e engenharia civil.",,,,Aumento,17/07/2009,33334,Novas entradas em dinheiro,dinheiro,Y,50000,33334,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,1,5000,3,2500; 500; 2000,quotas,"Prestação de serviços de informática e formação profissional, produção de software e fabricação de equipamentos informáticos. Exportação, importação, representação e comercialização de produtos informáticos e de tecnologias de informação",58290 - Edição de outros programas informáticos.,,,,Constituição,09/09/2011,5000,,,N,,,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,3,50000,5000000,0.01,nominativas.,,58290 - Edição de outros programas informáticos.,,,,Aumento,14/10/2013,45000,,,Y,4491300,508700,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,4,53712.14,5371214,0.01,,,,,,,Aumento,05/02/2014,3712.14,em dinheiro,dinheiro,Y,4491300,879914,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,5,60311.49,6031149,0.01,,,,,,,Aumento,30/06/2014,6599.35,,,Y,4491300,1539849,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,6,64161.43,6416143,0.01,,,,,,,Aumento,05/11/2014,3849.94,,,Y,4491300,1924843,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,7,64161.43,6416143,0.01,,,,,,,Alteração,04/08/2015,0,,,Y,4491299,1924844,,,,,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",,509987184,"8, 9",88523.84,8852384,0.01,,,,,,,Aumento e Alteração,10/02/2016,24362.41,"em espécie quanto a 3.355,70 Euros e em dinheiro quanto a 21.006,71 Euros, mediante a emissão de 2.436.241 novas ações da categoria A com o valor nominal de 0,01 Euro",,Y,4491229,4361085,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,1,5000,2,2500; 2500,quotas,"Consultoria, investigação, desenvolvimento de programas e sistemas na área da informática e das telecomunicações; engenharia de tecnologias de informação; prestação de serviços a empresas e particulares nestas áreas; projecto, instalação e manutenção de infra­estruturas de redes de comunicação de dados; comercialização de programas, equipamento informático e de telecomunicações; formação profissional nestas áreas",62010 - Actividades de programação informática,,,,Constituição,15/05/2009,5000,,,N,,,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,5,15000,5,"4875, 4875, 4500, 650, 100",quotas,,,,,,Aumento e Alteração,16/03/2011,10000,Quotas,,N - Quotas,15000,,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,7,15002,16,3592; 3592; 3315; 100; 650; 513; 237; 770; 355; 1; 1; 276; 474; 415; 710; 1),quotas,,,,,,Aumento,13/06/2014,2,"conversão de suprimentos, subscritos pelos sócios DUETO SGPS, S.A. e FUNDO DE CAPITAL DE RISCO EMPREENDER MAIS ­ CAIXA CAPITAL, com a criação de duas novas quotas de 1,00 , cada.",conversão suprimentos,N - Quotas,15002,,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,8,17477,18,3592; 3592; 3315; 100; 650; 513; 237; 770; 355; 1; 635;  1; 276; 474; 415; 710; 1; 1840),,,,,,,Aumento,13/06/2014,2475,"conversão de suprimentos, com a criação de duas novas quotas no valor de 635,00 e 1.840,00 cada subscritos pelos sócios DUETO SGPS, S.A. e FCR EMPREENDER MAIS ­CAIXA CAPITAL, respectivamente.",conversão suprimentos,N - Quotas,17477,,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,9,50000,50000,1,"nominativas, tituladas ou escriturais.",,,,,,Aumento,13/06/2014,32523,,,Y,32185,10734,7081,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,10,55000,55000,1,"nominativas, tituladas ou escriturais",,,,,,Aumento,01/10/2014,5000,,,Y,32185,10734,7081,5000,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,11,58750,58750,1,"nominativas, tituladas ou escriturais",,,,,,Aumento,20/08/2015,3750,,,Y,32185,10734,7081,8750,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",Around Knowledge,508977754,12,62500,62500,1,"nominativas, tituladas ou escriturais",,,,,,Aumento,01/10/2015,3750,,,Y,32185,10734,7081,12500,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",,508977754,13,86182,86182,1,,,,,,,Aumento,09/08/2016,23682,"quanto a 13.490,00 , em espécie e quanto a 10.192,00 , em dinheiro.",,Y,32185,10734,7081,36182,,,,,,,,,,,,,,,,,,
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",,507455509,1,50000,50000,1,nominativas podendo ser tituladas ou escriturais e reciprocamente convertíveis.,"Investigação e desenvolvimento, nomeadamente de projectos de equipamentos construtivos de pontes; comercialização de equipamentos construtivos de pontes; elaboração de projectos de engenharia; consultoria de engenharia e engenharia de pontes.",71120 - Actividades de engenharia e técnicas afins.,,,,Constituição,28/09/2006,50000,,,N,50000,,,,,,,,,,,,,,,,,,,,,
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",,507455509,3,6043911,6043911,1,nominativas,,,,,,Aumento,15/04/2008,5993911,"Realizado em espécie com a quantia de 3.022.245,00 , subscrito pelo accionista Pedro Álvares Ribeiro do Carmo Pacheco e 2.971666,00 , por conversão de prestações acessórias de capittal, subscrito quanto a 1.485.833,00 , pela sociedade ""Mota­ Engil, Engenharia e Construção , S. A."" ; 989.985,00, pelao accionista ""Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento;e 495.848,00 , pelo accionista""Fundo de Capital de Risco AICEP Capital Global III""","em especie; em dinheiro, conversão prestações acessórias",N,6043911,,,,,,,,,,,,,,,,,,,,,
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",,507455509,4,7612649,7612649,1,,,,,,,Aumento,19/09/2011,1568738,,,N,7612649,,,,,,,,,,,,,,,,,,,,,
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",,507455509,5,7612649,7612649,1,Ordinárias,,,,,,Alteração,30/04/2013,0,,,N,7612649,,,,,,,,,,,,,,,,,,,,,
"BICA STUDIOS, S.A.",,510781845,1,6000,6000,,quotas,"Desenvolvimento e comércio de software; programação informática, game design, edição de jogos de computador, design gráfico. Formação profissional",58210 - Edição de jogos de computador,85591 - Formação profissional.,,,Constituição,09/08/2013,6000,,,N,6000,,,,,,,,,,,,,,,,,,,,,
"BICA STUDIOS, S.A.",,510781845,3,458276.85,45827685,0.01,nominativas,,,,,,Aumento,19/03/2015,452276.85,"340.500,00 euros em espécie e subscrito pelos sócios em partes iguais; 111.776,85 em numerário e subscrito quanto a 1,00 euro por cada um dos novos sócios André Guimarães dos Reis Santos e Filipe Bernardes dos Santos Augusto e quanto a 111.774,85 euros pelo novo sócio ""Fundo de Capital de Risco Portugal Ventures Global 2"" gerido por ""Portugal Capital Ventures­Sociedade de Capital de Risco, S.A."", NIPC 502206128, Av. Dr. Antunes Guimarães, no 103, Porto.","em especie; em dinheiro, ",Y,34650200,11177485,,,,,,,,,,,,,,,,,,,,
"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",,509594107,1,50000,500000,0.01,nominativas,"Prestação de serviços e comércio de produtos de diagnóstico na área da biotecnologia. Investigação e desenvolvimento em biotecnologia. Comércio, importação e exportação de produtos para diagnóstico clínico. Actividades de ensaios e análises técnicas, designadamente na área clínica e do sector alimentar. Exploração de laboratório de análises clínicas.",72110 - Investigação e desenvolvimento em biotecnologia.,,,,Constituição,20/12/2010,15000,,,N,500000,,,,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",,510447147,1,1000,2,240; 760,quotas,"Investigação, desenvolvimento e integração de software, hardware e sistemas no setor da saúde e prestação de serviços conexos, nomeadamente de suporte à decisão clínica. Investigação e desenvolvimento em biotecnologia, bioinformática e nanobiotecnologia",72110 - Investigação e desenvolvimento em biotecnologia,62010 - Actividades de programação informática,,,Constituição,14/11/2012,1000,,,N - Quotas,,,,,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",,510447147,2,34029,7,4219.6; 11569.84; 9528.12; 2177.86; 2177.86; 2177.86; 2177.86,quotas,,,,,,Aumento,26/06/2013,33029,"22.659,48 euros por conversão de créditos da sócia Critical Software, S.A. no montante de 11.329,84 euros, do sócio Carlos José Fialho da Costa Faro no montante de 1.801,52 euros e pela nova sócia Biocant ­ Associação de Transferência de Tecnologia com 9.528,12 euros e em dinheiro quanto 10.369,52 euros subscrito pelo sócio Carlos José Fialho da Costa Faro com a quantia de 1.658,08 euros e pelos novos sócios, Carlos Manuel Baptista Fiolhais, Manuel Gonçalo Lopes de Almeida Quadros, Marco Aurélio Ribeiro Costa e Nuno Manuel de Castro Santos Arantes e Oliveira com 2.177.86 euros cada um. Software, S.A. no montante de 11.329,84 euros, do sócio Carlos José Fialho da Costa Faro no montante de 1.801,52 euros e pela nova sócia Biocant ­ Associação de Transferência de Tecnologia com 9.528,12 euros e em dinheiro quanto 10.369,52 euros subscrito pelo sócio Carlos José Fialho da Costa Faro com a quantia de 1.658,08 euros e pelos novos sócios, Carlos Manuel Baptista Fiolhais, Manuel Gonçalo Lopes de Almeida Quadros, Marco Aurélio Ribeiro Costa e Nuno Manuel de Castro Santos Arantes e Oliveira com 2.177.86 euros cada um.","em dinheiro,conversão suprimentos",N - Quotas,34029,,,,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",CBRA GENOMICS,510447147,4,50000,5000000,0.01,"nominativas, tituladas ou escriturais.",,,,,,Aumento,29/07/2013,15971,"dinheiro, com a admissão para sócios de Critical Ventures ­Sociedade de Capital de Risco, S.A. ­ 5.540,96 Euros e do Fundo de Capital de Risco Portugal Ventures Biocant (anteriormente designado por FCR INOVCAPITAL BIOCANT), gerido por Portugal Capital Ventures ­ Sociedade de Capital de Risco, S.A. ­ 10.430,04 Euros.",em dinheiro,Y,3093236,1906764,,,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",,510447147,7,69719.06,6971906,0.01,,,,,,,Aumento,26/04/2016,3259.38,"dinheiro, mediante a emissão de 325.938 novas ações de categoria A, com o valor nominal de 0,01 Euro, cada uma.",,Y,3093236,3878670,,,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",,510447147,8,69719.06,6971906,0.01,,,,,,,Alteração,26/04/2016,0,,,Y,3093235,3878671,,,,,,,,,,,,,,,,,,,,
"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",,505298503,1,50000,5000000,0.01,nominativas,"Realização de projectos de investigação e desenvolvimento de circuitos e sistemas electrónicos; concepção, desenvolvimento, produção e comercialização de hardware e software na área de circuitos e sistemas electrónicos; prestação de serviços de consultoria e assistência técnica na área de circuitos e sistemas electrónicos; organização de eventos nas áreas científicas, tecnológicas e industriais de circuitos e sistemas electrónicos.",26110 - Fabricação de componentes electrónicos,,,,Aumento e Alteração,12/08/2006,45000,"Modalidade e forma de subscrição: realizado em dinheiro pelos sócios Fernando Manuel Duarte Gonçalves com 3.564,44 euros, José João Henriques Teixeira de Sousa com 5.546,67 euros, Edgar Francisco Monteiro e Albuquerque com 888,89 euros, Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa com 3.633,73 euros e pela nova sócia Es Tech Ventures, SGPS, S.A., Av. da Liberdade, 195, Lisboa com 31.366,27 euros",em dinheiro,Y,2872978,2127022,,,,,,,,,,,,,,,,,,,,
"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",,505298503,2,54699.25,5469925,0.01,,,,,,,Aumento,06/08/2012,4699.25,em espécie,em espécie,N,5469925,,,,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,506131610,1,25000,3,17500; 5000; 2500,quotas,,62090 - Outras actividades relacionadas com as tecnologias da informação e informática.,,,,Aumento,12/01/2011,20000,"Em dinheiro, 13.750,00 Euros pelo sócio Samuel Silva, 3.750,00 Euros pelo sócio João Silva, a acrescer às respectivas quotas e 2.500,00 Euros por Milene Carla Ribeiro Alves da Silva, admitida como nova sócia",em dinheiro,N - Quotas,25000,,,,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,506131610,2,50914.29,5091429,0.01,nominativas,,,,,,Aumento,20/12/2011,25914.29,"em numerário, subscrito pelos sócios, sendo 18.140,00 euros pelo Samuel Carlos Ribeiro Alves da Silva , 5.162,86 euros pelo João Carlos Ribeiro Alves da Silva e 2.591,43 euros pela Milene Carla Ribeiro Alves da Silva e pela entrada de dois novos sócios Carlos dos Santos Pedro da Silva e Maria do Céu Ribeiro Alves da Silva, que subscrevem, cada um, 10,00 euros.",em dinheiro,N,5091429,,,,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,506131610,3,66628.57,6662857,0.01,,,,,,,Aumento,05/01/2012,15714.28,"dinheiro, mediante a emissão de 1.571.428 novas acções com o valor nominal de 0,01 Euros, cada uma.",em dinheiro,Y,5091429,1571428,,,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,506131610,5,72128.57,7212857,0.01,,,,,,,Aumento,10/09/2014,5500,"dinheiro, por um accionista.",em dinheiro,N,7212857,,,,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,506131610,7,96272.79,9627279,0.01,,,,,,,Aumento,10/06/2016,24144.22,por incorporação de reservas,,Y,5091429,4535850,,,,,,,,,,,,,,,,,,,,
"ECOFOOT, S.A.",,510252362,1,1000,3,850; 100; 50,quotas,"Conceção, desenvolvimento, fabrico e comercialização de pigmentos e outros produtos similares.",20120 - Fabricação de corantes e pigmentos.,,,,Constituição,18/04/2012,1000,,,N - Quotas,1000,,,,,,,,,,,,,,,,,,,,,
"ECOFOOT, S.A.",,510252362,2,50914.29,5091429,0.01,nominativas,,,,,,Aumento,15/11/2012,25914.29,"em numerário, subscrito pelos sócios, sendo 18.140,00 euros pelo Samuel Carlos Ribeiro Alves da Silva , 5.162,86 euros pelo João Carlos Ribeiro Alves da Silva e 2.591,43 euros pela Milene Carla Ribeiro Alves da Silva e pela entrada de dois novos sócios Carlos dos Santos Pedro da Silva e Maria do Céu Ribeiro Alves da Silva, que subscrevem, cada um, 10,00 euros.",em dinheiro,N,5091429,,,,,,,,,,,,,,,,,,,,,
"ECOFOOT, S.A.",,510252362,3,66628.57,6662857,0.01,nominativas,,,,,,Aumento,05/01/2012,15714.28,"dinheiro, mediante a emissão de 1.571.428 novas acções com o valor nominal de 0,01 Euros, cada uma.",em dinheiro,Y,5091429,1571428,,,,,,,,,,,,,,,,,,,,
"ECOFOOT, S.A.",,510252362,4,72128.57,7212857,0.01,nominativas,,,,,,Aumento,10/09/2014,5500,"dinheiro, por um accionista.",em dinheiro,N,7212857,,,,,,,,,,,,,,,,,,,,,
"EQUIGERMINAL, S.A.",,509756638,1,5000,2,2500; 2500,quotas,Gestão e controlo de recursos genéticos em animais. Desenvolvimento e comercialização de kits de diagnóstico. Criopreservação de amostras biológicas.,72110 - Investigação e desenvolvimento em biotecnologia.,,,,Constituição,09/02/2011,5000,,,N - Quotas,5000,,,,,,,,,,,,,,,,,,,,,
"EQUIGERMINAL, S.A.",,509756638,5,50000,6,8283; 8283; 2090; 10448; 10448; 10448,quotas,,,,,,Aumento,27/04/2012,45000,"realizado em dinheiro e subscrito quanto a 5.783,00 euros, por Alexandre Pires, quanto a 5.783,00 euros, por Isabel Maria Fidalgo dops Santos Silva Carvalho, quanto a 2.090,00 euros, por André Gomes, quanto a 10.448,00 euros, por A2B SGPS, S.A, quanto a 10.448,00 euros, por Fundo Beta Ciências da Vida e quanto a 10.448,00 euros, por Fundo Istart, estes quatro últimos admitidos como sócios.",em dinheiro,N - Quotas,50000,,,,,,,,,,,,,,,,,,,,,
"EQUIGERMINAL, S.A.",,509756638,6,50000,50000,1,"tituladas ou nominativas, representadas por titulos de uma, dez, cinquenta, cem, quinhentas, mil ou multiplos de mil acções",,,,,,Transformação,15/11/2012,0,,,Y,5000,45000,,,,,,,,,,,,,,,,,,,,
