Denominação,NIF,Acto/Facto,Data,Doc 
"SAKPROJECT INTERNATIONAL, S.A",510434126,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),12/11/2012,1
"SAKPROJECT INTERNATIONAL, S.A",510434126,"Aumento do capital, Alteração parcial com remodelação total do contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",23/11/2012,2
"SAKPROJECT INTERNATIONAL, S.A",510434126,Actualização,23/11/2012,3
"SAKPROJECT INTERNATIONAL, S.A",510434126,Aumento do capital(online),30/01/2015,4
"MUZZLEY, S.A.",510354050,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),20/08/2012,1
"MUZZLEY, S.A.",510354050,Alterações ao contrato de sociedade,06/12/2012,2
"MUZZLEY, S.A.",510354050,Aumento do capital,18/12/2012,3
"MUZZLEY, S.A.",510354050,"Aumento do capital, Mudança da sede, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",14/01/2013,4
"MUZZLEY, S.A.",510354050,Actualizado,06/02/2014,5
"MUZZLEY, S.A.",510354050,Aumento de capital (online),03/03/2014,6
"MUZZLEY, S.A.",510354050,"Aumento do capital, Alteração total ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",08/05/2014,7
"MUZZLEY, S.A.",510354050,Aumento do capital(online),07/01/2015,8
"MUZZLEY, S.A.",510354050,Aumento do capital(online),2016-02-11,9
"MUZZLEY, S.A.",510354050,Alterações ao contrato de sociedade(online),2016-04-13,10
"MUZZLEY, S.A.",510354050,Alterações ao contrato de sociedade(online),2016-08-24,11
"LASERLEAP TECHNOLOGIES,S.A.",509992544,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",08/09/2011,1
"LASERLEAP TECHNOLOGIES,S.A.",509992544,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"LASERLEAP TECHNOLOGIES,S.A.",509992544,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",27/08/2013,3
"LASERLEAP TECHNOLOGIES,S.A.",509992544,Rectificado,11/09/2013,4
"LASERLEAP TECHNOLOGIES,S.A.",509992544,Aumento do capital(online),2015-09-24,5
"LASERLEAP TECHNOLOGIES,S.A.",509992544,Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),2016-08-03,6
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),18/02/2013,1
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",27/03/2013,2
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,Aumento do capital e Designação de membro(s) de orgão(s) social(ais),16/04/2013,3
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,Redução do capital e Aumento do capital,30/07/2014,4
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,Alterações ao contrato de sociedade,2015-09-07,5
"EQUIGERMINAL, S.A.",509756638,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",09/02/2011,1
"EQUIGERMINAL, S.A.",509756638,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",09/02/2011,2
"EQUIGERMINAL, S.A.",509756638,Alterações ao contrato de sociedade,01/04/2011,3
"EQUIGERMINAL, S.A.",509756638,Alterações ao contrato de sociedade,01/04/2011,4
"EQUIGERMINAL, S.A.",509756638,Aumento do capital(online),27/04/2012,5
"EQUIGERMINAL, S.A.",509756638,Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais),15/11/2012,6
"EQUIGERMINAL, S.A.",509756638,Actualização,09/11/2013,7
"EQUIGERMINAL, S.A.",509756638,Aumento do capital e Alterações ao contrato de sociedade,22/08/2014,8
"EQUIGERMINAL, S.A.",509756638,Aumento do capital e Alterações ao contrato de sociedade,2015-11-20,9
"EQUIGERMINAL, S.A.",509756638,"Mudança da sede, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",2016-07-08,10
"ECOFOOT, S.A.",510252362,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",18/04/2012,1
"ECOFOOT, S.A.",510252362,Alterações ao contrato de sociedade,15/11/2012,2
"ECOFOOT, S.A.",510252362,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",04/12/2012,3
"ECOFOOT, S.A.",510252362,"Aumento do capital, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",27/12/2013,4
"NUTRIGREEN, S.A.",508025095,"Constituição de sociedade, designação de membro(s) de orgão(s) sociais",07/03/2007,1
"NUTRIGREEN, S.A.",508025095,"Constituição de sociedade, designação de membro(s) de orgão(s) sociais",,2
"NUTRIGREEN, S.A.",508025095,Alterações ao contrato de sociedade,08/02/2008,3
"NUTRIGREEN, S.A.",508025095,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",30/12/2008,4
"NUTRIGREEN, S.A.",508025095,"Aumento do capital, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",16/01/2009,5
"NUTRIGREEN, S.A.",508025095,Rectificado,19/01/2009,6
"NUTRIGREEN, S.A.",508025095,Rectificado,12/02/2009,7
"NUTRIGREEN, S.A.",508025095,"Redução do capital, Aumento do capital e Alteração parcial com remodelação total do contrato de sociedade",2016-06-16,8
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Constituição de sociedade e designação de membro(s) de órgão(s) social(ais),28/11/2008,1
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Constituição de sociedade e designação de membro(s) de órgão(s) social(ais),,2
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Rectificação,21/07/2009,3
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Alterações ao contrato de sociedade,17/02/2010,4
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Alterações ao contrato de sociedade,,5
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",12/04/2011,6
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,"Aumento do capital, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",06/06/2011,7
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Aumento do capital e Designação de membro(s) de orgão(s) social(ais),12/09/2011,8
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Aumento do capital,17/07/2012,9
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Aumento do capital e Alterações ao contrato de sociedade,29/01/2013,10
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Emissão de warrants,04/06/2014,11
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Emissão de warrants,04/06/2014,12
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,"Aumento do capital, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",04/06/2015,13
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Emissão de warrants,02/07/2015,14
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Emissão de obrigações realizada por oferta particular,02/07/2015,15
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Emissão de warrants,2015-08-07,16
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,Aumento do capital,2015-08-13,17
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,contas,19/09/2006,
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,Aumento do capital(online) e Alterações ao contrato de sociedade(online),12/01/2011,1
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,"Aumento do capital(online), Transformação em sociedade anónima(online) e Designação de membro(s) de orgão(s) social(ais) (online)",20/12/2011,2
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,"Aumento do capital, Alteração integral do contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",05/01/2012,3
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,Alterações ao contrato de sociedade(online),12/04/2012,4
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,Aumento do capital,10/09/2014,5
"DOMATICA - GLOBAL SOLUTIONS, S.A.",506131610,Aumento do capital,2016-06-01,6
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),18/09/2007,1
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),18/05/2009,2
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Aumento do capital e Alterações ao contrato de sociedade,31/07/2009,3
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Alterações ao contrato de sociedade(online),22/06/2010,4
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Alterações ao contrato de sociedade(online),,5
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,"Aumento do capital, Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",13/01/2011,6
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Aumento do capital(online),07/09/2012,7
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Actualizado,02/12/2013,8
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,AVISO,18/06/2015,9
MAGPOWER - SOLUÇÕES DE ENERGIA S.A.,508178045,Regularização,02/07/2015,10
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),28/09/2006,1
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Alterações ao contrato de sociedade e Mudança da sede,08/03/2007,2
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Aumento do capital e Alterações ao contrato de sociedade,15/04/2008,3
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Aumento do capital e Alterações ao contrato de sociedade,29/09/2011,4
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),30/04/2013,5
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,Actualizado,24/01/2014,6
"ADVANCED CYCLONE SYSTEMS, S.A.",508482917,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),09/05/2008,1
"ADVANCED CYCLONE SYSTEMS, S.A.",508482917,Aumento do capital e Alterações ao contrato de sociedade,17/07/2009,2
"ADVANCED CYCLONE SYSTEMS, S.A.",508482917,Mudança da sede,16/07/2014,3
"YD YNVISIBLE, S.A.",509233023,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",27/01/2010,1
"YD YNVISIBLE, S.A.",509233023,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online) e Transformação em sociedade anónima(online),13/08/2010,3
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online) e Transformação em sociedade anónima(online),,4
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online),08/10/2010,5
"YD YNVISIBLE, S.A.",509233023,Alterações ao contrato de sociedade(online),16/11/2010,6
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online),16/11/2010,7
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online),,8
"YD YNVISIBLE, S.A.",509233023,Aumento do capital e Alterações ao contrato de sociedade,15/12/2010,9
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online),27/01/2011,10
"YD YNVISIBLE, S.A.",509233023,Convocatória,28/03/2011,11
"YD YNVISIBLE, S.A.",509233023,Actualizado,06/11/2013,12
"YD YNVISIBLE, S.A.",509233023,Convocatória,15/05/2014,13
"YD YNVISIBLE, S.A.",509233023,Convocatória,27/05/2014,14
"YD YNVISIBLE, S.A.",509233023,Redução do capital(online) e Alterações ao contrato de sociedade(online),04/07/2014,15
"YD YNVISIBLE, S.A.",509233023,Convocatória,2015-11-03,16
"YD YNVISIBLE, S.A.",509233023,Convocatória,2016-01-19,17
"YD YNVISIBLE, S.A.",509233023,Aumento do capital(online) e Designação de membro(s) de orgão(s) social(ais) (online),2016-03-14,18
"YDREAMS - INFORMÁTICA, S.A.",504901575,Aumento do capital,14/02/2006,1
"YDREAMS - INFORMÁTICA, S.A.",504901575,Alteração do contrato de sociedade,14/02/2006,2
"YDREAMS - INFORMÁTICA, S.A.",504901575,Rectificado,20/11/2007,3
"YDREAMS - INFORMÁTICA, S.A.",504901575,Alterações ao contrato de sociedade(online),28/09/2010,4
"YDREAMS - INFORMÁTICA, S.A.",504901575,Alterações ao contrato de sociedade(online),,5
"YDREAMS - INFORMÁTICA, S.A.",504901575,Aumento do capital e Alterações ao contrato de sociedade,05/01/2012,6
"YDREAMS - INFORMÁTICA, S.A.",504901575,"ACTUALIZAÇÃO DA FREGUESIA DA SEDE POR APLICAÇÃO DA LEI Nº 11-A/2013, DE 22 DE JANEIRO",29/01/2014,7
"YDREAMS - INFORMÁTICA, S.A.",504901575,Convertido,25/05/2015,8
"YDREAMS - INFORMÁTICA, S.A.",504901575,Rectificado,2015-06-05,9
"YDREAMS - INFORMÁTICA, S.A.",504901575,Convocatória,2015-09-11,10
"YDREAMS - INFORMÁTICA, S.A.",504901575,Convocatória,2016-02-01,11
"SOUSACAMP, SGPS S.A.",507955862,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),29/06/2007,1
"SOUSACAMP, SGPS S.A.",507955862,Aumento do capital e Alterações ao contrato de sociedade,06/02/2008,2
"SOUSACAMP, SGPS S.A.",507955862,Atualizado,12/02/2015,3
"ABYSSAL, S.A.",510091083,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),25/01/2012,1
"ABYSSAL, S.A.",510091083,"Aumento do capital, Designação de membro(s) de orgão(s) social(ais) e Alterações ao contrato de sociedade",31/10/2013,2
"ABYSSAL, S.A.",510091083,Actualizado,31/10/2013,3
"ABYSSAL, S.A.",510091083,Aumento do capital,03/12/2013,4
"ABYSSAL, S.A.",510091083,Aumento do capital,24/03/2015,5
"BICA STUDIOS, S.A.",510781845,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",09/08/2013,1
"BICA STUDIOS, S.A.",510781845,Actualizado,21/01/2014,2
"BICA STUDIOS, S.A.",510781845,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",19/03/2015,3
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Convertido,22/02/2006,1
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Actualizado,28/03/2007,2
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Alterações ao contrato de sociedade(online),15/02/2013,3
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Alterações ao contrato de sociedade e aumento de capital (online),25/09/2013,4
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Atualizado,08/01/2014,5
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,"Aumento do capital, Alteração total do contrato de sociedade e Designação de membro(s) de orgão(s) social(ais)",05/03/2015,6
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Alterações ao contrato de sociedade,2016-02-01,7
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,Mudança da sede,2016-02-15,8
"CHIC BY CHOICE, S.A.",510985530,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),21/02/2014,1
"CHIC BY CHOICE, S.A.",510985530,"Redução do capital, Aumento do capital e Alterações ao contrato de sociedade",10/02/2015,2
"FOLLOWPRICE, S.A.",513350152,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),04/02/2015,1
"FOLLOWPRICE, S.A.",513350152,Aumento do capital,2016-04-13,2
"FOLLOWPRICE, S.A.",513350152,Aumento do capital e Mudança da sede,2016-09-12,3
"GETSOCIAL, S.A.",510781322,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),24/09/2013,1
"GETSOCIAL, S.A.",510781322,Actualizado,13/11/2013,2
"GETSOCIAL, S.A.",510781322,Aumento do capital,04/05/2015,3
"GETSOCIAL, S.A.",510781322,Aumento do capital,2015-08-14,4
"GLEAM, S.A.",510730370,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),12/07/2013,1
"GLEAM, S.A.",510730370,Aumento do capital,14/10/2014,2
"GLEAM, S.A.",510730370,Aumento do capital,28/01/2015,3
"GLEAM, S.A.",510730370,Aumento do capital,2016-08-09,4
"MOODOPTIC, S.A.",507798325,"Contrato de sociedade,designação de membro(s) de orgão(s)",30/06/2006,1
"MOODOPTIC, S.A.",507798325,"Contrato de sociedade,designação de membro(s) de orgão(s)",30/06/2006,2
"MOODOPTIC, S.A.",507798325,ALTERAÇÃO PARCIAL DO CONTRATO,12/09/2006,3
"MOODOPTIC, S.A.",507798325,"Aumento do capital(online), Alterações ao contrato de sociedade(online) e Designação de membro(s) de orgão(s) social(ais) (online)",09/08/2011,4
"MOODOPTIC, S.A.",507798325,Aumento do capital(online),28/02/2012,5
"MOODOPTIC, S.A.",507798325,Alterações ao contrato de sociedade(online),20/04/2012,6
"MOODOPTIC, S.A.",507798325,Alterações ao contrato de sociedade(online),07/08/2013,7
"MOODOPTIC, S.A.",507798325,Actualização de Freguesia,06/12/2013,8
"MOODOPTIC, S.A.",507798325,Alterações ao contrato de sociedade,10/11/2014,9
"MOODOPTIC, S.A.",507798325,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",10/11/2014,10
"MOODOPTIC, S.A.",507798325,Aumento do capital,14/07/2015,11
"MOODOPTIC, S.A.",507798325,Aumento do capital,2015-10-22,12
